sentence,cause,effect,is_causal
"﻿NaMo, who had avoided visiting the victims of the 2002 riots in his own state for a long time, lost no time in burning up aviation fuel by dashing to Patna twice in one week to express condolences and score points over his rambunctious rivals.", to express condolences and score points over his rambunctious rivals,dashing to Patna twice in one week,1
"Indira landed in Nalanda and waded into the floodwaters on an elephant to visit each Dalit family, which had lost members in the caste pogrom."," to visit each Dalit family, which had lost members in the caste pogrom",Indira landed in Nalanda and waded into the floodwaters on an elephant,1
"December 05, 2017 00:00 IST Say officials at the panchayat level are colluding with locals Residents of Varavani panchayat staged a protest at the collectorate here on Monday, against illegal tapping of drinking water supplied through pipelines under the Cauvery combined water supply scheme and irregular supply of water to their villages.",against illegal tapping of drinking water supplied through pipelines under the Cauvery combined water supply scheme and irregular supply of water to their villages,Residents of Varavani panchayat staged a protest at the collectorate here on Monday,1
Ramanathapuram Residents protest against illegal water connections,against illegal water connections,Ramanathapuram Residents protest,1
"Led by A Sagayamadha, an office-bearer of the All India Farm Workers Association, the villagers, including a large number of women from the panchayat comprising six villages, staged the protest urging the district administration to immediately disconnect the illegal water connections and ensure uninterrupted water supply to them.","Led by A Sagayamadha, an office-bearer of the All India Farm Workers Association","the villagers, including a large number of women from the panchayat comprising six villages, staged the protest urging the district administration to immediately disconnect the illegal water connections and ensure uninterrupted water supply to them",1
"Led by A Sagayamadha, an office-bearer of the All India Farm Workers Association, the villagers, including a large number of women from the panchayat comprising six villages, staged the protest urging the district administration to immediately disconnect the illegal water connections and ensure uninterrupted water supply to them.", urging the district administration to immediately disconnect the illegal water connections and ensure uninterrupted water supply to them,"the villagers, including a large number of women from the panchayat comprising six villages, staged the protest",1
"Biswal, who had travelled to the city from Washington to speak at the Indian Consulate General 's Media-India Lecture Series yesterday, said not only were there a large number of Indian victims in the attack but there were Americans also who lost their lives.", to speak at the Indian Consulate General 's Media-India Lecture Series yesterday,"Biswal, who had travelled to the city from Washington",1
"On media reports that the night vision device used by three terrorists in the Gurdaspur attack had US markings, Biswal said the US is in conversation with Indian authorities to try to ascertain and trace the origins of the equipment found.", to try to ascertain and trace the origins of the equipment found,the US is in conversation with Indian authorities,1
""" We will continue to work very closely with the Indian government on those issues, "" she said, adding that it is an ongoing process and the US is working with Indian authorities to address issues of concern emanating from the incident.", to address issues of concern emanating from the incident,the US is working with Indian authorities,1
"As many as 59 recruits who had graduated from different colleges of the State came together for the fourth time to demand answers from HCL Technologies, the company that had recruited them in 2011."," to demand answers from HCL Technologies, the company that had recruited them in 2011",As many as 59 recruits who had graduated from different colleges of the State came together for the fourth time,1
Three Arrested in Bimbola Clash 18th June 2014 09:39 AM DHENKANAL : Three persons were arrested on Tuesday for their alleged involvement in killing of a naib sarpanch in a clash between members of two communities at Bimbola village under Dhenkanal Sadar police limits on Monday.,their alleged involvement in killing of a naib sarpanch in a clash between members of two communities at Bimbola village under Dhenkanal Sadar police limits on Monday,Three persons were arrested on Tuesday,1
Three Arrested in Bimbola Clash 18th June 2014 09:39 AM DHENKANAL : Three persons were arrested on Tuesday for their alleged involvement in killing of a naib sarpanch in a clash between members of two communities at Bimbola village under Dhenkanal Sadar police limits on Monday.,a clash between members of two communities at Bimbola village under Dhenkanal Sadar police limits on Monday,killing of a naib sarpanch,1
The naib sarpanch was killed and 17 others were seriously injured in the clash over use of a village field.,the clash,The naib sarpanch was killed and 17 others were seriously injured,1
The naib sarpanch was killed and 17 others were seriously injured in the clash over use of a village field.,use of a village field,the clash,1
Bimbola village turned into a battle field as rival groups wielding guns took the centre stage.,rival groups wielding guns took the centre stage,Bimbola village turned into a battle field,1
The clash took place over use of the field.,use of the field,The clash took place,1
"Ishrat Jahan, a 19 - year-old college student was killed along with three others on June 15, 2004 allegedly by a team of Crime Branch officials on the outskirts of Ahmedabad, after intelligence inputs that a group of Lashkar terrorists have plotted to kill Gujarat Chief Minister Narendra Modi to avenge the 2002 communal riots in the state.",intelligence inputs that a group of Lashkar terrorists have plotted to kill Gujarat Chief Minister Narendra Modi to avenge the 2002 communal riots in the state,"Ishrat Jahan, a 19 - year-old college student was killed along with three others on June 15, 2004 allegedly by a team of Crime Branch officials on the outskirts of Ahmedabad",1
"Ishrat Jahan, a 19 - year-old college student was killed along with three others on June 15, 2004 allegedly by a team of Crime Branch officials on the outskirts of Ahmedabad, after intelligence inputs that a group of Lashkar terrorists have plotted to kill Gujarat Chief Minister Narendra Modi to avenge the 2002 communal riots in the state.", to avenge the 2002 communal riots in the state,a group of Lashkar terrorists have plotted to kill Gujarat Chief Minister Narendra Modi,1
13 Sep 2014 Three people were sentenced to death by a Yunnan court for their role in the attack at a Kunming rail station that killed 31 people and injured 141 in March.,their role in the attack at a Kunming rail station that killed 31 people and injured 141 in March.,Three people were sentenced to death by a Yunnan court,1
13 Sep 2014 Three people were sentenced to death by a Yunnan court for their role in the attack at a Kunming rail station that killed 31 people and injured 141 in March.,the attack at a Kunming rail station,killed 31 people and injured 141 in March,1
"Kunming railway station attack Three given death penalty over Kunming rail station attack Influenced by religious extremism, trio plotted knife rampage, court says, while a fourth defendant handed life sentence for taking part",Kunming rail station attack,Three given death penalty,1
"Kunming railway station attack Three given death penalty over Kunming rail station attack Influenced by religious extremism, trio plotted knife rampage, court says, while a fourth defendant handed life sentence for taking part",Influenced by religious extremism,trio plotted knife rampage,1
"Kunming railway station attack Three given death penalty over Kunming rail station attack Influenced by religious extremism, trio plotted knife rampage, court says, while a fourth defendant handed life sentence for taking part",taking part,a fourth defendant handed life sentence,1
"Patigul Tohti, who was wounded and captured at the scene, was jailed for life after being convicted of taking part in the attack.",being convicted of taking part in the attack,"Patigul Tohti, who was wounded and captured at the scene, was jailed for life",1
"The NSS Karayogams were attacked in Thrissur and Thiruvananthapuram after NSS secretary Sukumaran Nair had said that the NSS did not support the LDF in the recent Assembly elections, as it did not want Achuthanandan to come back to power for another term.",NSS secretary Sukumaran Nair had said that the NSS did not support the LDF in the recent Assembly elections,The NSS Karayogams were attacked in Thrissur and Thiruvananthapuram,1
"The NSS Karayogams were attacked in Thrissur and Thiruvananthapuram after NSS secretary Sukumaran Nair had said that the NSS did not support the LDF in the recent Assembly elections, as it did not want Achuthanandan to come back to power for another term.",it did not want Achuthanandan to come back to power for another term,NSS secretary Sukumaran Nair had said that the NSS did not support the LDF in the recent Assembly elections,1
"Two days before the attack, local police arrested Tohtunyaz, Ehet and Muhammad as they tried to illegally cross into Vietnam via Honghe county, the court said.",they tried to illegally cross into Vietnam via Honghe county,"local police arrested Tohtunyaz, Ehet and Muhammad",1
"They did not confess to the planned attack after their capture, and so should bear full responsibility for the loss of life, the court said.",They did not confess to the planned attack after their capture,should bear full responsibility for the loss of life,1
The government has blamed separatist forces from Xinjiang for the attack.,the attack,The government has blamed separatist forces from Xinjiang,1
Mainland authorities have launched a massive crackdown against terrorism in wake of a string of violent attacks in the restive Xinjiang region and other cities on the mainland.,a string of violent attacks in the restive Xinjiang region and other cities on the mainland,Mainland authorities have launched a massive crackdown against terrorism,1
Mainland authorities have launched a massive crackdown against terrorism in wake of a string of violent attacks in the restive Xinjiang region and other cities on the mainland.,against terrorism,Mainland authorities have launched a massive crackdown,1
"The pair ’ s oaths are invalid and they will not be able to retake them, China ’ s rubberstamp legislature said, one day after thousands marched through the streets of Hong Kong to protest against Beijing ’ s interference.", to protest against Beijing ’ s interference,thousands marched through the streets of Hong Kong,1
"During a chaotic swearing-in ceremony last month, Yau and Leung thumbed their noses at Beijing by refusing to declare their allegiance to China and carrying blue flags reading : “ Hong Kong is not China. ”",Yau and Leung thumbed their noses at Beijing,refusing to declare their allegiance to China and carrying blue flags reading : “ Hong Kong is not China,1
The attack on Karayogams had sparked sharp reactions from the CPM leaders.,The attack on Karayogams,sharp reactions from the CPM leaders,1
"But many in Hong Kong complain those freedoms have been eroded in recent years, leading to nearly three months of street protests in 2014 – known as the umbrella revolution – and to the election in September this year of six politicians pushing for greater autonomy for the city.",many in Hong Kong complain those freedoms have been eroded in recent years,nearly three months of street protests in 2014 – known as the umbrella revolution – and <SIG1>to</SIG1> the election in September this year of six politicians pushing for greater autonomy for the city,1
"About 13,000 marched on Sunday to protest against China ’ s intervention, ending in clashes with police outside Beijing ’ s main presence in the city and four arrests.", to protest against China ’ s intervention,"About 13,000 marched on Sunday",1
"About 13,000 marched on Sunday to protest against China ’ s intervention, ending in clashes with police outside Beijing ’ s main presence in the city and four arrests.","About 13,000 marched on Sunday",clashes with police outside Beijing ’ s main presence in the city and four arrests,1
Some schools which had to postpone their mid-term examinations due to the bandh have the additional task of conducting the tests before resuming the classes.,the bandh,Some schools which had to postpone their mid-term examinations,1
Some schools which had to postpone their mid-term examinations due to the bandh have the additional task of conducting the tests before resuming the classes.,Some schools which had to postpone their mid-term examinations,have the additional task of conducting the tests before resuming the classes,1
"Taxi strike impacts businesses in Soshanguve Brenda Masilela PRETORIA, November 8 ( ANA ) - Employees at the Soshanguve Plaza, south of Pretoria, arrived for work on Wednesday only to find businesses closed amid fears that the taxi strike might turn violent.",fears that the taxi strike might turn violent,"Employees at the Soshanguve Plaza, south of Pretoria, arrived for work on Wednesday only to find businesses closed",1
"27th February 2009 02:04 AM COLOMBO : India on Thursday told Pakistan that it recognised what Islamabad had done so far to investigate the involvement of Pakistanis in the Mumbai attacks and curb crossborder terrorism, but a lot more remained to be done to ensure that such attacks did not recur.", to investigate the involvement of Pakistanis in the Mumbai attacks and curb crossborder terrorism,what Islamabad had done so far,1
About 125 bus operators across Gauteng stopped reporting for duty two weeks ago following a dispute in mileage payment.,a dispute in mileage payment,About 125 bus operators across Gauteng stopped reporting for duty two weeks ago,1
About 125 bus operators across Gauteng stopped reporting for duty two weeks ago following a dispute in mileage payment.,duty,reporting,1
"Over 60,000 pupils were left stranded by the strike.",the strike,"Over 60,000 pupils were left stranded",1
"Flash strike by guards delays suburban trains - Indian Express Express News Service, Express News Service : Fri Nov 30 2012, 03:16 hrs Most guards on local trains abstained from work Thursday protesting "" irritable "" behaviour of the area officer at Churchgate, forcing station masters and traffic inspectors to take up their role.",Flash strike by guards, delays suburban trains,1
"Flash strike by guards delays suburban trains - Indian Express Express News Service, Express News Service : Fri Nov 30 2012, 03:16 hrs Most guards on local trains abstained from work Thursday protesting "" irritable "" behaviour of the area officer at Churchgate, forcing station masters and traffic inspectors to take up their role."," protesting "" irritable "" behaviour of the area officer at Churchgate",Most guards on local trains abstained from work Thursday,1
"Flash strike by guards delays suburban trains - Indian Express Express News Service, Express News Service : Fri Nov 30 2012, 03:16 hrs Most guards on local trains abstained from work Thursday protesting "" irritable "" behaviour of the area officer at Churchgate, forcing station masters and traffic inspectors to take up their role.","Most guards on local trains abstained from work Thursday protesting "" irritable "" behaviour of the area officer at Churchgate", forcing station masters and traffic inspectors to take up their role,1
"Four days ago, guard Rakesh Jha had gone on a hunger strike at Churchgate Station after he was denied leave despite applying two months back.",he was denied leave despite applying two months back,guard Rakesh Jha had gone on a hunger strike at Churchgate Station,1
"Four days ago, guard Rakesh Jha had gone on a hunger strike at Churchgate Station after he was denied leave despite applying two months back.",applying two months back,he was denied leave,1
"A guard said, "" When Jha did not get leave till four hours before departure of his train, he hanged a poster around his neck announcing an indefinite hunger strike.",announcing an indefinite hunger strike,he hanged a poster around his neck,1
"A guard said, "" When Jha did not get leave till four hours before departure of his train, he hanged a poster around his neck announcing an indefinite hunger strike.",Jha did not get leave till four hours before departure of his train,announcing an indefinite hunger strike,1
All the 417 guards in the suburban section refused to work extra hours in protest.,in protest,All the 417 guards in the suburban section refused to work extra hours,1
"Her son and Congress general secretary Rahul Gandhi has taken up the issue in a big way, staging a daylong sit-in at the village after four people, including two police personnel, were killed in clashes.","four people, including two police personnel, were killed in clashes","Her son and Congress general secretary Rahul Gandhi has taken up the issue in a big way, staging a daylong sit-in at the village",1
"Scores of students, teachers and women rights organisations had yesterday staged a protest outside college demanding Thampu 's resignation for shielding the accused.", demanding Thampu 's resignation for shielding the accused,"Scores of students, teachers and women rights organisations had yesterday staged a protest outside college",1
"Protests in Kupwara molestation of girl over - Indian Express Agencies, Agencies : Srinagar, Thu Jul 09 2009, 12:30 hrs Locals took to the streets in frontier district of Kupwara today demanding the arrest of a territorial army jawan, who allegedly tried to molest a young woman following which she committed suicide.", demanding the arrest of a territorial army jawan,Locals took to the streets in frontier district of Kupwara today,1
"Protests in Kupwara molestation of girl over - Indian Express Agencies, Agencies : Srinagar, Thu Jul 09 2009, 12:30 hrs Locals took to the streets in frontier district of Kupwara today demanding the arrest of a territorial army jawan, who allegedly tried to molest a young woman following which she committed suicide.",who allegedly tried to molest a young woman following which she committed suicide,demanding the arrest of a territorial army jawan,1
"Protests in Kupwara molestation of girl over - Indian Express Agencies, Agencies : Srinagar, Thu Jul 09 2009, 12:30 hrs Locals took to the streets in frontier district of Kupwara today demanding the arrest of a territorial army jawan, who allegedly tried to molest a young woman following which she committed suicide.","a territorial army jawan, who allegedly tried to molest a young woman",she committed suicide,1
"After family members narrated the incident to their neighbours, people came on the road and held demonstrations.",family members narrated the incident to their neighbours,people came on the road and held demonstrations,1
"Mpofu said Lt-Col Kaizer Modiba was fabricating his evidence about the violence during the mineworkers ' strike at Marikana, near Rustenburg in the North West, because he had not been in a position to witness an attack.",he had not been in a position to witness an attack,"Lt-Col Kaizer Modiba was fabricating his evidence about the violence during the mineworkers ' strike at Marikana, near Rustenburg in the North West",1
"Tiruvannamalai : Cab drivers, owners take out rally May 22, 2012 00:00 IST Tourist cab drivers and owners took out a rally here on Monday demanding to scrap lifetime tax system introduced by Tamil Nadu government.", demanding to scrap lifetime tax system introduced by Tamil Nadu government,Tourist cab drivers and owners took out a rally here on Monday,1
"3 Cong workers killed on phase-IV eve - Indian Express Kolkata, Mon Jul 22 2013, 01:36 hrs On the eve of the fourth phase of panchayat elections, widespread incidents of violence led to the death of three Congress workers on Sunday.","On the eve of the fourth phase of panchayat elections, widespread incidents of violence",the death of three Congress workers on Sunday,1
Police said two Congress workers  Nurmohhamad Sheikh and Ahad Ali  were killed after being hit by crude bombs late Saturday night at Kapasdanga in Murshidabad district.,being hit by crude bombs late Saturday night at Kapasdanga in Murshidabad district,two Congress workers  Nurmohhamad Sheikh and Ahad Ali  were killed,1
"There were reports of skirmishes and clashes, including stone pelting, in the area in which two policemen were injured.","There were reports of skirmishes and clashes, including stone pelting, in the area",two policemen were injured,1
"Another Congress worker, Repon Sheikh, was killed at Bharatpur in the same district during a clash between rival party supporters, the police said.",a clash between rival party supporters,"Another Congress worker, Repon Sheikh, was killed at Bharatpur in the same district",1
"`` I observed the attack on the police, I have no doubt about it, '' Modiba said during cross-examination.",I observed the attack on the police,I have no doubt about it,1
"Accusing the CPM of instigating the violence, she said the deaths were result of clashes between the Congress and the Marxists.", Accusing the CPM of instigating the violence,she said the deaths were result of clashes between the Congress and the Marxists,1
"Accusing the CPM of instigating the violence, she said the deaths were result of clashes between the Congress and the Marxists.", were result of clashes between the Congress and the Marxists,the deaths,1
Beijing launched a campaign to ' educate ' Tibetan monks and nuns after unrest rocked Tibetan-populated areas in March 2008., to ' educate ' Tibetan monks and nuns,Beijing launched a campaign,1
Beijing launched a campaign to ' educate ' Tibetan monks and nuns after unrest rocked Tibetan-populated areas in March 2008.,unrest rocked Tibetan-populated areas in March 2008,to ' educate ' Tibetan monks and nuns,1
"The taxi strike that left commuters stranded in Johannesburg was expected to also disrupt matric pupils writing exams on Monday, the Gauteng education department said.",The taxi strike, that left commuters stranded in Johannesburg was expected to also <SIG1>disrupt</SIG1> matric pupils writing exams on Monday,1
"Earlier, the Johannesburg metro police said the strike was expected to also disrupt the Reya Vaya bus service.",the strike,also disrupt the Reya Vaya bus service,1
"`` We do not know about the strike, if we called for a strike we could have informed commuters, '' said president Philip Taaibosch.",we called for a strike,we could have informed commuters,1
"Sena legislators protest against Yedyurappa 01st April 2010 10:08 PM MUMBAI : Shiv Sena workers, including some legislators, today staged demonstrations against Karnataka Chief Minister B S Yeddyurappa here, protesting the ' forcible installation ' of a Kannadiga mayor in Marathi-dominated Belgaum city.", protesting the ' forcible installation ' of a Kannadiga mayor in Marathi-dominated Belgaum city,"Shiv Sena workers, including some legislators, today staged demonstrations against Karnataka Chief Minister B S Yeddyurappa here",1
"Sena legislators protest against Yedyurappa 01st April 2010 10:08 PM MUMBAI : Shiv Sena workers, including some legislators, today staged demonstrations against Karnataka Chief Minister B S Yeddyurappa here, protesting the ' forcible installation ' of a Kannadiga mayor in Marathi-dominated Belgaum city.",against Karnataka Chief Minister B S Yeddyurappa,"Shiv Sena workers, including some legislators, today staged demonstrations",1
"The protesters shouted slogans against the Karnataka CM, demanding that Belgaum, along with Marathi speaking areas in that state, be merged with Maharashtra."," demanding that Belgaum, along with Marathi speaking areas in that state, be merged with Maharashtra",The protesters shouted slogans against the Karnataka CM,1
"Yesterday, over 50 Karnataka Rakshana Vedike ( KRV ) activists were taken into custody when they allegedly tried to attack some members of Maharashtra Ekikaran Samithi ( MES ) and corporators of Belgaum City Corporation.",they allegedly tried to attack some members of Maharashtra Ekikaran Samithi ( MES ) and corporators of Belgaum City Corporation,over 50 Karnataka Rakshana Vedike ( KRV ) activists were taken into custody,1
"﻿As the city enters its ninth consecutive week of protests, the movement shows few signs of abating, as public anger at the government spreads to more parts of Hong Kong society.",public anger at the government spreads to more parts of Hong Kong society,the movement shows few signs of abating,1
"﻿The protests, which began over a proposal to allow extradition to China, pose the most serious challenge to China ’ s authority over the city since 1997, when it was returned from British to Chinese control.",a proposal to allow extradition to China,﻿The protests,1
"﻿The protests, which began over a proposal to allow extradition to China, pose the most serious challenge to China ’ s authority over the city since 1997, when it was returned from British to Chinese control.",it was returned from British to Chinese control,pose the most serious challenge to China ’ s authority over the city since 1997,1
"On Thursday, Chen Daoxiang, the head of the Chinese army garrison in Hong Kong, said the military was “ determined to protect [ the ] national sovereignty ” of Hong Kong and would help put down the “ intolerable ” unrest if requested.",requested,the military was “ determined to protect [ the ] national sovereignty ” of Hong Kong and would help put down the “ intolerable ” unrest,1
"Hong Kong police on Thursday also charged 44 people linked to the protests with “ rioting ”, a crime that carries a maximum penalty of 10 years in prison.",“ rioting ”,Hong Kong police on Thursday also charged 44 people linked to the protests,1
"Hong Kong police on Thursday also charged 44 people linked to the protests with “ rioting ”, a crime that carries a maximum penalty of 10 years in prison.", linked to the protests with “ rioting ”,Hong Kong police on Thursday also charged 44 people,1
On online forums there were claims that police decided to allow the previously banned protest in Mongkok in order to surround demonstrators and arrest them en masse.,to surround demonstrators and arrest them en masse,police decided to allow the previously banned protest in Mongkok,1
"“ If peaceful marches that disrupt the road for an afternoon or so don ’ t work, maybe it spills over to blockading more roads, maybe for long.",peaceful marches, that disrupt the road for an afternoon or so,1
"“ If peaceful marches that disrupt the road for an afternoon or so don ’ t work, maybe it spills over to blockading more roads, maybe for long.",peaceful marches that disrupt the road for an afternoon or so don ’ t work,"maybe it spills over to blockading more roads, maybe for long",1
"An integrated steel plant, agriculture and mineral-based industries should be set up in Kadapa district for ensuring its comprehensive development and generate employment, CPI(M) district secretary B. Narayana demanded while addressing party functionaries who staged dharna in front of Kadapa Collectorate on Thursday.",ensuring its comprehensive development,"An integrated steel plant, agriculture and mineral-based industries should be set up in Kadapa district",1
"CMP TIRUPATI : The all-India general strike called by trade unions on Wednesday badly hit the working of the PSU banks, LIC and the General Insurance Companies in Chittoor district.",The all-India general strike called by trade unions on Wednesday," badly hit the working of the PSU banks, LIC and the General Insurance Companies in Chittoor district",1
UPA criticised Demonstrations were held in front of the bank branches and the insurance company premises denouncing the failure of the UPA government in holding the price line., denouncing the failure of the UPA government in holding the price line,Demonstrations were held in front of the bank branches and the insurance company premises,1
"Leaders of the CPI-M, CPI, TDP and the frontal units, addressing the rally, lashed out at the Central and State governments for doing nothing except chanting ‘ Indira, Rajiv and Sonia ’ mantra, grossly sideling the National Common Minimum Programme.","doing nothing except chanting ‘ Indira, Rajiv and Sonia ’ mantra","Leaders of the CPI-M, CPI, TDP and the frontal units, addressing the rally, lashed out at the Central and State governments",1
"Leaders of the CPI-M, CPI, TDP and the frontal units, addressing the rally, lashed out at the Central and State governments for doing nothing except chanting ‘ Indira, Rajiv and Sonia ’ mantra, grossly sideling the National Common Minimum Programme.","doing nothing except chanting ‘ Indira, Rajiv and Sonia ’ mantra",grossly sideling the National Common Minimum Programme,1
Kurnool : Work in all offices and financial institutions came to a stand still on account of the strike.,the strike,Work in all offices and financial institutions came to a stand still,1
"Seven Maoists Killed in Gun Battle 18th February 2014 11:36 AM Seven Maoists were killed in a two-hour long gun battle with Maharashtra Police on the border the state shares with Chhattisgarh, a top official said Tuesday.",in a two-hour long gun battle with Maharashtra Police on the border the state shares with Chhattisgarh,Seven Maoists were killed,1
"On August 16, 2012, 34 people, mostly mineworkers, were shot dead in a clash with police who were trying to disarm and disperse them.",a clash with police who were trying to disarm and disperse them,"On August 16, 2012, 34 people, mostly mineworkers, were shot dead",1
"Several hundred people who have occupied homes at Delft on the Cape Flats are on their way to the Cape High Court in a bid to block their impending eviction, a spokesman said.", in a bid to block their impending eviction,Several hundred people who have occupied homes at Delft on the Cape Flats are on their way to the Cape High Court,1
"Speaking just after 1pm, Poni said he and the hundreds of residents who had demonstrated outside the court were now on their way by train to the High Court, where they would make another attempt to get an urgent interdict.",they would make another attempt,he and the hundreds of residents who had demonstrated outside the court were now on their way by train to the High Court,1
"Speaking just after 1pm, Poni said he and the hundreds of residents who had demonstrated outside the court were now on their way by train to the High Court, where they would make another attempt to get an urgent interdict.", to get an urgent interdict,they would make another attempt,1
Additional Director General of Police ( HQs ) Ravinder Kumar said that the state police along with central paramilitary forces have been working to rescue the abducted people., to rescue the abducted people,the state police along with central paramilitary forces have been working,1
"Search is on to trace and recover the abducted people, "" he said.", to trace and recover the abducted people,Search is on,1
"Police suspect that the Maoists abducted the workers after the company refused to pay "" protection money "" demanded by the rebels.","the company refused to pay "" protection money "" demanded by the rebels",the Maoists abducted the workers,1
SANGAREDDY : Shortage of urea : farmers protest in Sangareddy,Shortage of urea,farmers protest in Sangareddy,1
"August 17, 2010 00:00 IST With the shortage of urea staring farmers on their face, scores of farmers held ‘ rasta roko ' and ‘ dharna ' across the district.",the shortage of urea staring farmers on their face,scores of farmers held ‘ rasta roko ' and ‘ dharna ' across the district,1
"While earlier it was the turn of Telangana Rashtra Samithi ( TRS ) to participate in protests in support to farmers, on Monday it was the Telugu Desam.", in support to farmers,Telangana Rashtra Samithi ( TRS ) to participate in protests,1
"Despite assurances by the authorities, the stock of urea is not reaching farmers",assurances by the authorities,the stock of urea is not reaching farmers,1
